Food,Category,Recipe/Single_food_item,Fiber_(g),Quantity,Carbohydrate_(g),Protein_(g),Fat_(g),Calories_(kcal),Protein_(g)_nutritions,Fats_(g),Carbohydrates_(g),Starch_(g),Cholesterol_(mg),Calcium_(mg),Magnesium_(mg),Iron_(mg),Zinc_(mg),Thiamin_(mg),Riboflavin_(mg),Niacin_(mg),Vitamin_B6_(mg),Vitamin_B12_(mcg),"Folate,_ug",Vitamin_C_(mg),Retinol_Activity_Equivalents_(ug),Vitamin_E_(ug),total_n-6_fas_(%_of_energy),total_n-3_fas_(%_of_energy),Vitamin_B5_(mg),Phosphorus_(mg),Potassium_(mg),Sodium_(mg),Selenium_(mcg),Retinol_(mcg),Saturated_fatty_acids_(g),Mono-unsaturated_fatty_acids_(g),Poly-unsaturated_fatty_acids_(g),Free_sugars_(g)
"PURPLE YAM, BOILED",Dessert,R,4.555709839,92.0,41.32,2.2600000000000002,2.54,183.2,3.101759911,0.290789992,20.2486763,15.15015888,0.0,39.77780533,28.09031487,1.271169066,0.28155899,0.077544004,0.00920835,0.672209561,0.2025837,0.1,19.35789108,10.10398293,32.12260056,0.474956989,0.6,0.13999999999999999,0.222939,65.10787964,717.2819824,12.34888172,0.407106012,7.8,132.123883,251.33060099999997,291.518782,1.444257021
"PURPLE YAM, W/ COCONUT MILK",Dessert,R,2.7,86.0,45.4,4.0,12.0,283.0,2.4,7.1,17.4,8.2,0.0,30.0,21.0,1.25,0.25,0.04,0.04,0.5,0.06,0.0,8.9,4.5,89.0,0.2,1.1,0.2,0.46997009,34.19147406,305.53239745999997,22.511479448,83.9209022284,7.8,1.0,0.5,1.3,5.9378584517999995
"QUEEN FISH, DRIED, TEMPERED, W/ COCONUT MILK",Dessert,R,1.249688,92.0,41.32,2.2600000000000002,2.54,183.2,6.8137026,13.42488,3.6249828,0.14838301,8.3137999,27.202415,18.06798,1.102062,0.47623,0.016561421,0.016473651,0.59615827,0.062732674,0.28946501,16.056957,2.5629385,12.202394,0.030092999,0.9400000000000001,0.1,0.11814401,29.194439,149.2489,1505.9662,81.741081,7.8,500.136022,814.444898,318.801706,0.53767228
"QUEEN FISH, FRESH, DEEP-FRIED",Dessert,R,0.54400003,92.0,41.32000000000001,2.26,2.54,183.2,26.51,10.77,1.24125,1.0695,24.978001,11.1775,40.244499,2.48105,0.72969997,0.040131249,0.046231251,5.1080375,0.12720625,1.3972501,8.6042805,0.0,0.20542499,0.078249998,2.2600000000000002,0.34,0.81924999,314.86002,474.76251,71.871735,54.848999,9.4,156.07566599999998,180.7249,311.077928,1.8050691562
QUINOA,Breakfast,S,,80.0,21.0,4.0,2.0,120.0,5.702760601,12.896095401,16.1666827392,20.3513071484,0.0,70.932089234,83.031772352,1.6013523006,1.0529748458000001,0.07712807019999998,0.07504621040000001,1.3625114536,0.0989542506,0.0012969976,25.918320846,15.937936898,64.60121216,5.266339081,4.82,0.08,0.36097319640000003,68.693967814,200.704441,35.5119881558,6.5000148776,46.333333333333336,1176.4446644,1161.2025816,388.71207799999996,0.9735296156000001
"RABBIT FISH, FRESH, BOILED, W/ COCONUT MILK",Dessert,R,1.36043,92.0,35.32000000000001,3.2600000000000002,1.54,159.2,11.360642,10.614073,4.1620331,0.53485501,14.039545,60.213341,23.130753,2.4430633,0.7705735,0.03328209,0.082482621,1.3784528,3.298358,0.76551002,73.466698,2.4795806,16.195127,0.062613003,1.3599999999999999,0.18000000000000002,0.44928873,114.58802,223.84781,25.088707,15.106428,22.4,1079.8489666,1084.2009788,432.212036,0.5860997606
"RADISH LEAVES, TEMPERED",Dessert,R,2.19499588,100.0,51.04,5.12,10.36,366.2,2.296064138,6.301447868,4.197085857,1.783343911,0.0,261.6578369,60.66054153,4.081073284,0.448096007,0.055432402,0.157727554,0.584008694,0.140168697,0.47143828,38.43731689,73.8099823,412.2783508,0.042118002,2.1399999999999997,0.16,0.165353,39.41250992,311.1725159,19.56098938,0.055574998,22.4,78.5258598,23.926954600000002,190.171,1.054588914
"RADISH, TEMPERED",Dessert,R,3.571248055,92.0,34.32000000000001,3.46,8.540000000000001,213.2,1.792971015,7.851063251,9.10244751,1.618914962,0.0,97.29316711,30.80620384,0.829441011,0.286154002,0.0618909,0.04443055,0.49884975,0.113738745,0.21944999800000003,24.36790466,17.80887604,17.86125374,0.076728001,0.82,0.28,0.315302014,45.4968338,381.130188,29.32063484,0.774006009,0.0,42.363905599999995,28.9607612,126.89778240000001,2.161404848
"RADISH, TEMPERED, W/ COCONUT MILK",Dessert,R,3.1,92.0,32.480000000000004,3.44,3.44,161.4,2.1,17.3,10.3,2.5,0.0,36.0,21.5,0.57,0.29,0.02,0.03,0.4,0.07,0.0,30.0,13.9,23.0,0.1,0.6,0.1,0.3084607492,40.507962670000005,238.54320235999998,200.89471189,19.2570766808,0.0,62.051287200000004,27.983829200000002,121.48374999999999,1.8338931857999998
"RADISH,BOILED, W/ COCONUT MILK",Dessert,R,3.1,92.0,32.480000000000004,3.44,3.44,161.4,2.1,14.1,10.3,2.5,0.0,36.0,21.4,0.56,0.29,0.02,0.03,0.3,0.06,0.0,30.0,10.9,22.0,0.0,0.4,0.2,0.27469275120000003,36.50272867,192.98150436,433.26434546999997,22.4451744808,0.0,62.051287200000004,27.983829200000002,121.48374999999999,1.4976106824
RAISINS,Breakfast,S,3.9,100.0,79.2,3.1,0.5,299.0,2.6,0.3,71.3,1.3,0.0,73.0,33.8,6.81,0.22,0.09,0.04,0.5,0.17,0.0,38.3,2.0,0.0,0.0,0.5,0.0,0.5280910008,87.721961308,270.19584454,21.3255907412,10.2990105688,7.8,122.707097,172.8103848,274.98253800000003,1.0050140212
"RAMBUTAN, RAW",Breakfast,S,1,92.0,38.480000000000004,2.44,4.4399999999999995,185.4,0.7,0.2,16.8,0.0,0.0,9.0,21.4,0.37,0.53,0.11,0.01,0.3,0.04,0.0,7.3,65.0,0.0,0.1,2.1,2.7,0.220482842,34.757061799999995,246.314,8.354000000000001,0.7896847060000001,0.0,27.2306,15.137367000000001,30.65907440000001,3.3110222390000006
RAMONTCHI,Breakfast,S,,70.85892857142856,20.979416666666665,4.363083333333333,5.174083333333334,290.1459459459459,7.446523820474934,10.092475207651717,15.836433497538463,8.600271963736311,17.62763952221255,65.59884507194305,36.349675157079886,1.993248551271523,1.0268091315687584,0.2602092450415549,0.2844709881195219,1.290470028550532,0.5215333259719253,0.46024931443288597,40.7490591116091,10.832388249754388,88.13244756646766,1.07397026874893,1.9368402579670327,0.548164685989011,1.0287957980916442,106.1212310056984,328.2084570074679,594.6611402798579,41.96178642373641,46.333333333333336,395.65910330138894,513.3889217638298,312.52470599507046,1.7257516199655172
RASAM W/ VEGETABLES,Dessert,R,2.4179299,92.0,37.32000000000001,2.46,2.94,165.2,0.85665798,0.76534396,3.4207509,1.165748,0.0,43.085594,21.578779,1.079055,0.204163,0.022949999,0.017279601,0.13725145,0.028635625,0.0,2.5253572,0.81086582,2.6452725,0.067079999,4.300000000000001,2.08,0.069205999,20.9263,120.33717,4.2964921,0.412352,19.2,44.201153,424.70969,142.24791,1.589038
RASAM W/ VEGETABLES & DAL,Dessert,R,4.5159302,92.0,41.32000000000001,2.2600000000000002,2.54,183.2,5.474658,0.91934401,14.036751,9.9537477,0.0,50.514194,32.90588,2.4200549,0.805363,0.067749999,0.0428796,0.40725145,0.061635625,0.072391688,9.6753578,0.81086582,2.8360724,0.10108,3.4200000000000004,1.64,0.335206,79.446297,248.01717,6.2420921,14.264352,20.8,62.813152,447.70969,211.44791,1.991038
"RAY, DRIED, TEMPERED",Dessert,R,2.643693,92.0,34.32000000000001,3.46,8.540000000000001,213.2,30.067816,13.400931,5.4839292,1.5154411,20.786039,46.889629,65.271126,1.556093,0.551009,0.02748068,0.0448118,1.916784,0.22886387,1.021554,100.01613,7.6027465,18.566446,0.084687002,2.4,0.6199999999999999,0.62903202,104.00291,600.88428,5528.7637,75.695755,0.0,655.0726060000001,559.687518,311.253634,0.53767228
"RAY, DRIED, TEMPERED, W/ COCONUT MILK",Dessert,R,1.6,92.0,32.480000000000004,3.44,3.44,161.4,8.3,13.8,4.6,2.1,51.8,32.0,22.4,1.69,0.65,0.02,0.04,0.9,0.05,0.30059519,7.1,5.5,37.0,0.1,1.1,0.5,0.5279153940000001,118.01829219999999,249.934922,42.1566868,94.63263078,7.8,253.26820619999998,315.19427155999995,155.11384579999998,0.316524393
"RAY, FRESH, BOILED, W/ COCONUT MILK",Dessert,R,1.36043,92.0,41.32,2.2600000000000002,2.54,183.2,13.206335,10.07091,4.1620331,0.53485501,7.6550999,26.216759,24.356045,2.1013401,0.66961801,0.0351482,0.047482852,1.6464744,0.090630874,0.101745,15.101894,2.4795806,16.195127,0.062613003,1.2600000000000002,0.12000000000000002,0.27655199,130.80978,274.87311,31.566036,8.8203144,3.2,47.65488760000001,26.808872400000002,164.39980199999997,0.8557910222
"RAY, FRESH, TEMPERED",Dessert,R,1.046944,92.0,41.32000000000001,2.26,2.54,234.8,11.661452,5.075479,1.564873,0.31004101,7.2768478,14.057721,20.705561,0.93461096,0.34558502,0.029259441,0.049055252,1.2967157,0.082282774,0.096717604,9.4740992,2.6063035,16.797201,0.026907001,1.0,0.24000000000000005,0.28406301,122.54545,247.9626,30.324936,8.1491041,1.6,64.300577,38.775827199999995,183.497676,0.7310622758
"RED BANANA, RIPE",Breakfast,S,1.98,86.0,33.6,3.5,10.059999999999999,227.0,1.29,0.29,25.21,10.66,0.0,9.56,31.44,0.24,0.09,0.01,0.02,0.46,0.45,0.0,18.92,6.74,12.6,0.1,0.7,0.36,0.41,23.27,313.0,1.11,122.19528911699997,0.0,0.106,0.01778,0.108,14.57
"RED LENTILS AND CABBAGE, BOILED, W/ COCONUT MILK",Dessert,R,5.46844101,92.0,41.32000000000001,2.2600000000000002,2.54,183.2,11.42618465,8.171309471,26.80552673,19.61874771,0.0,51.50196838,31.10777855,3.60534811,1.612268567,0.120669,0.071159102,0.937929094,0.127099648,0.054330122,32.11174774,8.900445938,2.084395409,0.093149997,1.1400000000000001,0.1,0.678122997,139.4376068,352.9629211,8.695902824,30.71782494,1.6,154.458884,103.4462596,233.3155,1.494102001
"RED LENTILS AND CARROTS, BOILED, W/ COCONUT MILK",Dessert,R,2.922093153,100.0,36.6,4.7,10.26,366.2,2.091125011,10.35217571,5.937624931,0.978645027,0.0,82.25848389,18.95889664,1.521610022,0.505351007,0.044165101,0.02700945,0.640043497,0.127820566,0.1,19.54072571,7.635403633,391.7966614,0.140937001,1.78,0.13999999999999999,0.172768995,33.34438324,206.1813965,18.84544754,0.382239997,19.2,94.1940778,22.3220542,166.5115,1.537702918
"RED LENTILS AND DRIED FISH, BOILED, W/ COCONUT MILK",Dessert,R,2.9,92.0,32.480000000000004,3.44,3.44,161.4,13.7,5.7,14.5,11.2,17.9,34.0,37.3,2.13,1.09,0.08,0.06,1.0,0.1,0.36195844,17.4,2.0,14.0,0.4,0.5,0.1,0.5438365820000001,98.59914380000001,302.684742,14.7707684,10.37853514,0.0,62.32269599999999,39.9614198,196.65915999999999,0.8589406014
"RED LENTILS AND LEEKS, BOILED, W/ COCONUT MILK",Dessert,R,4.182888,92.0,41.32,2.2600000000000002,2.54,183.2,9.4830179,12.505146,22.726852,15.611824,0.0,42.873257,23.925934,3.3444929,1.4489157,0.095671006,0.04954315,0.91006035,0.085951276,0.054330122,21.844225,4.1010723,4.416986,0.077431001,0.76,0.1,0.49561301,108.13046,267.65552,5.8252454,24.420683,20.8,45.679695,44.744644,144.89224,0.96318597
"RED LENTILS AND POTATO, BOILED",Dessert,R,3.8907549,92.0,41.32000000000001,2.26,2.54,183.2,7.4001937,0.342314,22.110947,17.821014,0.0,16.811489,27.460983,2.1629906,0.99677598,0.088642202,0.041178349,0.73966968,0.086605646,0.0,15.46814,7.1382537,0.80712104,0.076168001,0.62,0.22000000000000003,0.548204,110.30762,431.9841,4.7186117,20.010376,0.0,49.715324,41.245533,165.2265,0.72971499
"RED LENTILS AND POTATO, BOILED & TEMPERED",Dessert,R,4.312652111,92.0,41.32000000000001,2.26,2.54,183.2,8.65007782,7.497983932,22.40568161,18.09176826,0.0,17.59747696,26.70066071,2.600406885,1.141151786,0.093324706,0.052005548,0.655929625,0.091470204,0.0,16.82320404,4.354705334,3.440408468,0.085081004,0.62,0.1,0.585887015,118.2129669,352.9315186,4.66592741,24.43819809,0.0,48.96264120000001,54.9797268,173.56992,1.025339961
"RED LENTILS AND POTATO, BOILED, W/ COCONUT MILK",Dessert,R,4.1002679,92.0,41.32,2.2600000000000002,2.54,183.2,9.5714693,12.517781,23.470432,16.668388,0.0,40.679451,24.31279,3.3717089,1.4605798,0.098295406,0.048619751,0.95807713,0.086874679,0.054330122,21.322456,3.4035168,4.416986,0.081319004,0.78,0.1,0.51505297,111.33224,296.1351,4.1038332,24.439152,20.8,46.398003,45.34145,153.70441,0.90680999
"RED LENTILS AND RADDISH, BOILED, W/ COCONUT MILK",Dessert,R,3.810487986,92.0,41.32,2.2600000000000002,2.54,183.2,8.173618317,12.47094536,20.2860527,13.02642345,0.0,43.88467789,22.51380348,2.960192919,1.28555584,0.084930994,0.04376315,0.857560337,0.083651274,0.054330122,21.38082504,6.407472134,4.359745979,0.068231001,0.8799999999999999,0.06000000000000001,0.432812989,93.07746887,254.1515198,7.420565605,20.27408409,0.0,68.46077480000001,120.49518259999999,187.275634,0.934585989
"RED LENTILS AND SNAKE GOURD, BOILED, W/ COCONUT MILK",Dessert,R,4.2,86.0,46.4,3.8,5.0,229.0,9.4,9.0,20.9,16.6,0.0,23.0,31.3,2.76,1.32,0.08,0.05,0.5,0.05,0.0,20.4,0.6,12.0,0.1,0.6,0.1,0.5067974214000001,106.06088245999999,347.73923808,5.1816427128,9.2507244988,0.0,82.18098280000001,34.044309399999996,189.079826,0.8921326566
"RED LENTILS AND SPINACH, BOILED, W/ COCONUT MILK",Dessert,R,5.5,86.0,42.239999999999995,4.82,9.1,256.8,11.7,5.4,25.5,20.5,0.0,41.0,55.4,3.89,1.74,0.13,0.08,0.6,0.08,0.0,55.7,5.3,96.0,0.4,0.7,0.4,0.5275547210000001,64.681636828,400.99118058000005,28.759688832000002,4.8323047744,27.0,117.07441119999999,133.2693012,174.596016,6.0745436992
"RED LENTILS, SPLIT, BOILED",Dessert,R,3.036912,92.0,41.32000000000001,2.26,2.54,183.2,7.27384,0.52291203,18.513096,16.267256,0.0,20.530312,31.911039,1.113978,0.75026959,0.094274998,0.026732201,0.4728834,0.054302402,0.0,20.81592,0.0,0.0,0.063688003,0.6199999999999999,0.22000000000000003,0.425704,98.951042,350.703,5.4332566,4.8134718,19.2,86.1464,30.147888,218.21519,0.69721597
"RED LENTILS, SPLIT, BOILED & TEMPERED",Dessert,R,3.392471075,92.0,41.32000000000001,2.26,2.54,183.2,7.556764126,5.351220131,19.71021271,16.6166172,0.0,23.99644661,36.18869781,1.238535047,0.83087039,0.1133404,0.0347283,0.568357408,0.079184949,0.0,26.20785522,1.898029923,1.714379191,0.072639003,0.5799999999999998,0.12000000000000002,0.488265991,109.7330627,400.7653809,6.358116627,4.879555702,0.0,60.0812448,25.609203,153.85927,1.273707986
"RED LENTILS, SPLIT, BOILED & TEMPERED, W/ COCONUT MILK",Dessert,R,3.6,86.0,46.4,3.8,5.0,229.0,8.0,10.3,18.3,14.4,0.0,20.0,27.4,2.45,1.14,0.07,0.05,0.4,0.05,0.0,18.0,1.2,15.0,0.1,0.8,0.1,0.39951419920000003,67.65104844800001,338.27893808,5.3056264014,6.3138105884,0.0,65.5379042,26.6606898,170.435164,1.0182157774
"RED LENTILS, SPLIT, BOILED, W/ COCONUT MILK",Dessert,R,3.1,86.0,46.4,3.8,5.0,229.0,6.8,5.8,15.5,11.8,0.0,19.0,23.5,1.97,0.96,0.06,0.04,0.4,0.04,0.0,15.9,1.9,8.0,0.1,0.6,0.1,0.4482381992000001,80.220450648,348.82428008,8.4070910014,10.201767188400002,0.0,51.5894136,26.573275799999998,175.420224,0.9555177754
RED RICE,Breakfast,S,,80.0,23.0,2.4,0.8,112.0,5.702760601,12.896095401,16.1666827392,20.3513071484,0.0,70.932089234,83.031772352,1.6013523006,1.0529748458000001,0.07712807020000001,0.07504621040000001,1.3625114536000003,0.0989542506,0.0012969976,25.918320846,15.937936898,64.60121216,5.266339081,4.82,0.08,0.36097319640000003,68.693967814,200.704441,35.5119881558,6.5000148776,46.333333333333336,1176.4446644,1161.2025816,388.71207799999996,0.9735296156000001
"RED RICE, MEDIUM GRAIN, KEKULU (POLISHED), STEAMED OR BOILED",Dessert,R,0.9,86.0,46.4,3.8,5.0,229.0,2.4,0.4,32.2,31.9,0.0,1.0,4.8,0.19,0.48,0.02,0.01,0.7,0.0,0.0,10.8,0.0,0.0,0.0,0.0,0.0,0.25861346599999996,46.6456154,49.91958579999999,1.431642486,10.88551242,0.0,699.0863332000001,149.04613020000002,224.66029399999996,0.3941128492
"RED RICE, MEDIUM GRAIN, KEKULU (POLISHED), STEAMED OR BOILED",Dessert,R,0,86.0,46.4,3.8,5.0,284.4,2.7,1.0,24.2,24.2,0.0,0.0,0.4,0.01,0.01,0.08,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.216280266,41.4492954,43.806786,3.779074884,8.07942602,0.0,689.6892934,142.02161,190.00289400000003,2.7680508472000005
"RED RICE, MEDIUM GRAIN, PARBOILED, STEAMED OR BOILED",Dessert,R,0,86.0,46.4,3.8,5.0,284.4,2.7,1.0,24.2,24.2,0.0,0.0,0.4,0.01,0.01,0.08,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.216280266,41.4492954,43.806786,3.779074884,8.07942602,0.0,689.6892934,142.02161,190.00289400000003,2.7680508472000005
"RED RICE, SAMBA, KEKULU (POLISHED), STEAMED OR BOILED",Dessert,R,0.9,86.0,46.4,3.8,5.0,229.0,2.4,0.4,32.2,31.9,0.0,1.0,4.8,0.19,0.48,0.02,0.01,0.7,0.0,0.0,10.8,0.0,0.0,0.0,0.0,0.0,0.25861346599999996,46.6456154,49.91958579999999,1.431642486,10.88551242,0.0,699.0863332000001,149.04613020000002,224.66029399999996,0.3941128492
"RED RICE, SAMBA, PARBOILED, STEAMED OR BOILED",Dessert,R,0,86.0,46.4,3.8,5.0,229.0,3.0,1.2,28.2,28.1,0.0,24.0,43.0,0.39,0.6,0.13,0.0,2.1,0.02,0.0,10.0,0.0,0.0,0.1,0.0,0.0,0.6519191966000001,121.77833914200001,347.12035456,17.556105605199996,22.088083464000004,0.0,43.591305399999996,17.1600994,114.952738,0.7348068588000001
RICE AND CURRY,Dinner,S,,86.0,46.2,5.6,6.8,266.0,8.404330721200001,18.1857109238,36.487534075999996,9.410000364199998,8.638186646,100.97659453,80.78467026199999,3.1211525876,1.1276974266,0.10493187100000001,0.1091084368,1.6414960831999998,0.1404878382,0.0241652856,29.687046852,1.1944522285999999,27.3566817232,5.2845603382,4.819999999999999,0.08,0.3609731964,68.693967814,200.704441,35.5119881558,6.5000148776,46.333333333333336,1176.4446644,1161.2025816,388.71207799999996,0.9735296156000001
RICE PORRIDGE,Dessert,R,1.1551154,92.0,38.480000000000004,2.44,4.4399999999999995,284.4,2.1833353,0.77849513,26.261038,24.135094,0.0,4.9033513,13.240914,0.40971494,0.48516423,0.0006582,0.014578767,0.55232137,0.039206225,0.0,2.7975996,0.0,0.024214661,0.029874094,0.42000000000000004,0.0,0.20014605,57.508171,53.525295,0.77860236,3.5093908,19.2,212.77969,192.90813,254.05893,0.077300191
"RICE PORRIDGE W/ BANANA, W/ COCONUT MILK",Dessert,R,1.2508154,92.0,38.480000000000004,2.44,4.4399999999999995,284.4,3.3580694,12.817142,29.816803,23.736895,0.0,13.309401,14.792614,1.2233199,0.83208328,0.009818234,0.016018767,0.92894989,0.076328933,0.0101370998,9.8137398,1.289981,0.59908968,0.06267409,0.42000000000000004,0.0,0.22104605,56.920368,68.505295,0.82280236,3.3986907,19.2,214.3197,188.48293,254.60893,1.0368001
RICE PORRIDGE W/ CARROTS & LEEKS,Dessert,R,1.7445854,92.0,35.480000000000004,3.44,10.040000000000001,233.4,3.5590084,12.866909,29.02656,101.95699,63.324432,23.715963,0.0,19.242367,16.532778,1.388081,0.88697028,0.013599734,0.019348066,0.0,0.08665543,15.0,13.411517,2.0596352,5.7941895,3.7199168,80.061836,0.076342091,48.914,8.686,0.24187204,0.0,0.16440000000000002,0.0026,0.0034000000000000002,5.503230774
RICE PORRIDGE W/ COCONUT MILK,Dessert,R,1.2199154,92.0,38.480000000000004,2.44,4.4399999999999995,284.4,3.5760696,13.819543,30.854002,25.677694,0.0,13.811702,13.986114,1.3055499,0.89708328,0.009938235,0.015478767,0.98164988,0.05723393,0.0101370998,9.9639797,1.2227809,0.024214661,0.031474091,0.54,0.0,0.21294604,61.15617,56.451298,0.82180232,3.7307909,19.2,226.2197,204.92812,270.17892,0.080500185
"RICE PORRIDGE W/ GREEN GRAM, W/ COCONUT MILK",Dessert,R,4.5115843,92.0,41.32,2.2600000000000002,2.54,183.2,7.1185989,13.46318,23.126539,18.140135,0.0,32.650646,34.345695,1.9184005,1.1512262,0.078866363,0.057445206,0.95761859,0.086305641,0.0,28.437887,1.2227809,4.1388021,0.097119913,0.58,0.12000000000000002,0.54586411,93.674278,233.53091,3.0927963,7.2428412,20.8,129.62645,69.109154,229.61908,0.19069138
RICE PORRIDGE W/ SCRAPED COCONUT,Dessert,R,1.7304153,92.0,38.480000000000004,2.44,4.4399999999999995,284.4,2.5040355,2.8234951,28.022139,25.835695,0.0,5.5430512,16.463114,0.51263493,0.57346421,0.0006582,0.017853767,0.60224634,0.046901226,0.0,3.5710597,0.0,0.024214661,0.051974095,0.54,0.0,0.25294605,66.306168,73.901299,3.0108023,5.4637909,0.0,1768.2197,331.87811,296.32892,0.080500185
"RIDGE GOURD, W/ COCONUT MILK",Dessert,R,2.4414079,106.0,43.32000000000001,3.66,9.74,371.0,1.9264439,7.8567381,5.3864222,1.117386,0.0,95.176689,19.240898,4.5545182,0.64986998,0.0428317,0.017890399,0.54116178,0.0813943,0.322894466,25.441273,6.4044023,60.34589,0.081762001,1.2799999999999998,0.38,0.298722,36.342609,170.56439,4.8553562,0.49462,19.2,155.90645,16.721987,116.01256,1.2701939
"RIVER FISH, LARGE, NFS, FRESH, BOILED, W/ COCONUT MILK",Dessert,R,1.266714,92.0,35.32000000000001,3.2600000000000002,1.54,159.2,11.387767,10.213167,4.0925612,0.50873798,14.012017,58.22419,21.395863,2.0041482,0.74942851,0.037163809,0.087837838,1.364337,3.3043611,0.764009,73.938698,2.9839594,15.012181,0.034991998,1.3599999999999999,0.18000000000000002,0.48827803,114.09693,211.03748,25.002974,14.997557,22.4,1079.8489665999998,1897.4416099999999,534.600446,0.5860997606
ROAST GREEN PEA,Breakfast,S,,50.0,32.0,14.0,4.5,190.0,7.296972285199999,16.996562439799998,44.163274966,19.9649454922,0.0,73.47760466999999,82.25412445600001,3.1624691246,1.200109566,0.0900431242,0.1044363336,1.5849060602,0.11928794760000001,0.0012969976,28.554310874,0.62,8.5489104212,5.2386287378,4.82,0.08,0.36097319640000003,68.693967814,200.704441,35.5119881558,6.5000148776,46.333333333333336,1176.4446644,1161.2025816,388.71207799999996,0.9735296156000001
ROAST PAAN,Dessert,R,1.7887818,100.0,55.0,8.0,3.0,280.0,6.8205833,16.647764,46.374153,42.547878,0.0,18.556694,27.213114,1.1942174,0.58589095,0.12173609,0.17701319,1.174449,0.066684373,0.006484988,41.353413,0.0,41.698284,0.1569484,0.8,0.1,0.49655145,77.3069,202.32719,103.70034,0.007781986,19.2,58.238232,38.013638,214.94048,1.0948062
ROAST PEANUT,Breakfast,S,,50.0,10.0,13.0,26.0,300.0,8.404330721200001,18.1857109238,36.487534075999996,9.410000364199998,8.638186646,100.97659453,80.78467026199999,3.1211525876,1.1276974266,0.10493187100000001,0.1091084368,1.6414960831999998,0.1404878382,0.0241652856,29.687046852,1.1944522285999999,27.356681723200005,5.2845603382,4.6,0.02,0.3609731964,68.693967814,200.704441,35.5119881558,6.5000148776,46.333333333333336,1176.4446644,1161.2025816,388.71207799999996,0.9735296156000001
ROASTED GRAM,Breakfast,S,,50.0,30.0,12.0,2.0,200.0,7.296972285199999,16.996562439799998,44.163274966,19.9649454922,0.0,73.47760466999999,82.25412445600001,3.1624691246,1.200109566,0.0900431242,0.1044363336,1.5849060602,0.11928794760000001,0.0012969976,28.554310874,0.62,8.5489104212,5.2386287378,4.82,0.08,0.36097319640000003,68.693967814,200.704441,35.5119881558,6.5000148776,46.333333333333336,1176.4446644,1161.2025816,388.71207799999996,0.9735296156000001
ROSE APPLE,Breakfast,S,,92.0,38.480000000000004,2.44,4.4399999999999995,185.4,0.7,0.2,8.5,0.0,0.0,10.0,6.2,0.5,0.0,0.01,0.05,0.4,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0197559702,2.527866824,32.727156799999996,8.7795359332,0.067173976,0.0,6.02198348,18.30278518,16.80538586,3.1516153840000003
"ROTI, COCONUT",Dessert,R,5.1,86.0,60.839999999999996,4.220000000000001,5.1,281.8,8.0,9.8,48.4,46.6,0.0,91.0,29.8,1.81,0.68,0.16,0.02,2.9,0.08,0.0,25.5,0.7,0.0,0.4,1.6,0.1,0.6904044742,116.07818526000001,390.34465948,13.9248573674,13.893086919200002,7.8,184.52901179999998,218.39545599999997,300.1134792,1.333246203
"ROTI, EGG",Dessert,R,1.930995,92.0,41.32000000000001,2.26,2.54,183.2,7.9308395,4.4794049,43.558193,40.803112,49.700001,23.51296,27.179331,1.389475,0.69546497,0.097874001,0.047659501,0.4709515,0.0802375,0.10591,15.869904,2.7859783,1.3356508,0.33744001,0.52,0.02,0.637375,91.474129,201.21599,23.37916,8.7410498,20.8,592.09503,742.14978,453.358,1.276015
"ROTI, MILLET, PLAIN",Dessert,R,5,92.0,50.92,3.66,3.1399999999999997,232.2,4.6,11.9,48.4,47.3,0.0,29.0,88.8,0.64,1.72,0.33,0.1,2.0,0.2,0.0,7.8,0.9,0.0,0.2,1.4,0.0,1.3460734602,164.89620616000002,313.11789526,18.3294648352,9.0928181132,0.0,143.21974600000001,192.8975568,336.70425,0.8756785782
"ROTI, W/ VEGETABLES",Dessert,R,3.4,86.0,42.239999999999995,4.82,9.1,470.2,5.8,4.4,36.2,32.3,0.0,72.0,20.3,1.15,0.48,0.19,0.03,2.5,0.17,0.0,27.1,4.4,124.0,0.3,1.6,0.1,0.5003310082,72.546938728,320.29332686,29.183572379999998,4.49628829,27.0,193.4856732,188.2499612,249.14869599999997,2.0498450110000004
"ROTI, WHEAT, PLAIN",Dessert,R,,86.0,45.4,4.0,12.0,283.0,6.9,15.5,42.9,21.8893324,12.6648864,18.0,6.35793358,1.4,3.6196103980000003,72.0,66.0,0.8,0.08904059240000001,0.0,22.724981086,11.014,63.354303400000006,0.5055514402000001,1.1588379,0.74398336,16.151439200200002,11.0,90.19915999999999,10.6450152,2.194768828,0.0,326.58162,34.1214802,108.55972200000001,0.16539399999999999
"RUSKS, PLAIN",Breakfast,S,0,72.0,48.04,4.82,13.1,474.0,6.5,10.7,73.0,49.6,0.0,336.0,29.0,6.46,0.7,0.0,0.4,0.0,0.0,0.0,22.0,0.0,0.0,1.4,0.0,0.0,0.6943008,189.4877626,508.87298799999996,118.282512,63.964735919999995,3.2,249.84267119999998,361.01870399999996,814.6781193999999,1.8526780060000003
